Month,KS_p,KS_sig,p_1,p_5,p_10,p_90,p_95,p_99
1,6.26368075787991e-37,1,0.00277408447175341,1.76181797446537e-05,6.2325249228051e-09,1.06769757170922e-22,8.26406378966752e-08,NaN
2,0.00347011744078547,1,0.880563655916184,2.90507532797494e-08,3.85085762669545e-17,0.073655320707681,0.332749691040036,0.483310489970983
3,2.61213575752805e-57,1,0.104054663379382,7.17427896479395e-15,1.18600129057279e-35,0.0725156001984206,0.00393680313983193,0.162973294877206
4,9.13738888897942e-21,1,0.0642807142051932,0.141518071175574,1.85242282898988e-08,0.00577974302916727,0.112114803661872,0.774908661738464
5,2.24492340224986e-20,1,0.403008987439449,0.2005090287681,0.00868662091377219,3.04575999378048e-09,0.0573372033866647,3.18728474560684e-07
6,1.97642594493148e-13,1,NaN,2.97455970083084e-12,0.000145767339001447,1.45286752539985e-21,2.63012960663753e-15,NaN
7,1.38810019158482e-157,1,3.7502192163264e-06,0.000391700176784569,7.00714159664513e-15,0.0861895956751155,2.41157363881648e-21,NaN
8,9.50080185107476e-51,1,0.00501497293817359,2.41317943863906e-09,1.26962655060848e-05,2.38238328496013e-33,5.24080666487638e-20,0.782134054232992
9,8.21130288594771e-24,1,0.866196655840431,1.59408880286163e-14,3.07043917708749e-19,1.14257834281096e-12,0.354417113399515,0.000247595731178696
10,6.31773797113215e-39,1,0.921756127429004,3.92747955796838e-19,9.8416324254259e-05,0.057027880213236,0.0936884498714445,3.05772530768768e-05
11,2.10948404279848e-57,1,NaN,4.71760353169845e-05,5.20276348677162e-08,1.76698918709077e-52,2.62904593767753e-15,NaN
12,9.9220175954675e-97,1,0.126158477246139,0.386632348636486,0.313928288272011,5.15866446114579e-15,5.65475476059622e-06,NaN
