City,Year,t2m_1,t2m_5,t2m_10,t2m_90,t2m_95,t2m_99,Month_1,Month_5,Month_10,Month_90,Month_95,Month_99
ChinaLake,1940,312.133881185156,309.818906839844,308.538651411133,293.23671087793,291.912513571289,290.349435399805,8,8,6,8,8,7
ChinaLake,1941,311.192086709766,309.147572279297,308.22640740625,293.616870064453,292.264724797852,290.663960636328,7,7,7,7,7,7
ChinaLake,1942,312.258255926563,310.386920387695,309.430713010742,294.227557032227,292.892387833984,291.25426336582,7,7,7,7,7,7
ChinaLake,1943,312.205910225781,310.189907878906,308.42052647168,293.100314910156,291.582659282227,289.731859857813,7,7,7,7,7,7
ChinaLake,1944,311.975277128516,309.880690677734,308.225734680664,291.637339080078,290.538246538086,289.012156570313,8,8,8,7,7,7
ChinaLake,1945,311.847608694141,310.598599606445,309.655671351563,294.916108536133,293.723662989258,292.619688092969,7,7,7,7,7,7
ChinaLake,1946,311.070274539062,308.608309481445,307.638826333984,293.126782332031,291.801685375,289.879366654492,8,8,8,7,7,7
ChinaLake,1947,309.396557344531,306.525772487305,305.193336705078,290.56055512793,288.988012089844,287.327463583203,7,7,7,8,7,7
ChinaLake,1948,310.604562727539,308.909024375,307.150131503906,292.485426179688,291.005498230469,287.992607961914,9,9,7,7,7,7
ChinaLake,1949,311.680682599805,309.042924288086,307.421064535156,293.490700142578,292.349444600586,289.814884191992,7,7,7,7,7,7
ChinaLake,1950,312.844567232617,310.708758830078,308.568552106445,294.826646671875,293.735511109375,291.721351070508,7,7,7,7,7,7
ChinaLake,1951,310.451956738672,309.259040666992,308.292439962891,293.528544791992,291.701701251953,289.789034954883,7,7,7,7,7,7
ChinaLake,1952,310.295241845898,309.503760985352,308.278842633789,293.83722675,292.258840477539,289.737928898242,8,7,7,7,7,8
ChinaLake,1953,311.369604946289,310.634443663086,309.305537267578,295.852304291016,294.057284707031,290.178690317383,7,7,7,7,7,7
ChinaLake,1954,312.659656473633,309.12179787793,307.943137106445,295.012053706055,292.711901983398,290.699108171094,6,7,7,7,7,7
ChinaLake,1955,311.63404044043,309.386880791016,307.688719838867,294.783316832031,292.463899855469,288.582185315039,9,9,9,8,8,8
ChinaLake,1956,312.184937869141,307.818520722656,306.419768291016,292.363854460938,290.825429927734,288.97945199043,6,6,7,7,7,7
ChinaLake,1957,311.594242986328,309.280018066406,307.323898134766,292.984251103516,292.129938077148,290.56279472832,6,6,6,7,7,7
ChinaLake,1958,312.424242463867,309.576166486328,307.929660076172,294.878190151367,293.758877044922,292.414715469141,7,7,8,8,8,8
ChinaLake,1959,312.605098470508,311.490520380859,310.254869300781,296.072122020508,293.831326566406,291.664590268945,7,7,7,7,7,7
ChinaLake,1960,313.707107826562,310.487694679688,308.508377767578,294.098443267578,292.772124908203,290.722519831055,7,7,7,7,7,7
ChinaLake,1961,313.387223136719,311.138654663086,310.172515205078,295.125789955078,293.162892152344,289.979561352734,6,6,7,7,7,8
ChinaLake,1962,311.510088769531,308.582015916992,307.523668170898,293.177883480469,292.11865925,290.645970695508,8,8,8,7,7,7
ChinaLake,1963,309.698667022656,308.669946583984,307.717933676758,291.505214058594,290.068854955078,287.989724759375,7,7,7,7,8,8
ChinaLake,1964,311.921702106055,309.71925322168,308.612783222656,293.170443999023,292.082562507813,289.809509882813,7,7,7,8,8,8
ChinaLake,1965,310.101881919336,308.529319569336,307.032860989258,292.869641520508,291.167762105469,289.225309185742,8,8,8,7,8,8
ChinaLake,1966,313.154375277734,311.186374070313,309.554877524414,293.709239570313,291.723196652344,289.682157436523,8,8,8,8,8,8
ChinaLake,1967,312.763489660156,310.576004943359,309.353085246094,295.893112791016,294.829278058594,292.678292677344,7,7,7,7,7,8
ChinaLake,1968,311.653453268555,310.135826116211,308.756129225586,294.855575022461,292.65991725,290.574489284766,6,7,7,7,7,7
ChinaLake,1969,312.604644575391,311.218929794922,309.695446930664,294.265440941406,292.335376199219,291.209580192578,8,8,8,7,7,7
ChinaLake,1970,312.475143580469,311.085324389648,309.916624350586,295.391067211914,294.19081984375,291.288539930469,8,7,7,7,7,7
ChinaLake,1971,312.492920501758,310.747973787109,309.553444890625,294.835231645508,293.337560197266,290.841837664453,7,7,7,8,8,8
ChinaLake,1972,315.507909644336,312.262750515625,310.543777313477,294.155911664063,292.181830898438,289.542147667578,7,7,7,7,7,7
ChinaLake,1973,313.389407495703,311.209355771484,310.103595294922,294.408855397461,293.160332939453,290.912985809375,7,7,7,7,7,7
ChinaLake,1974,311.305229699219,309.869281787109,308.580610124023,294.25355825,292.138594476563,290.163772360938,6,6,7,7,7,7
ChinaLake,1975,312.975247121875,310.619287523437,308.682984152344,293.97858737793,292.749989308594,288.49470155957,7,7,7,7,7,9
ChinaLake,1976,311.538055377539,309.213817977539,308.244784880859,294.03626740918,292.487282458008,288.990514794727,8,7,7,7,7,7
ChinaLake,1977,312.464874797656,310.309420943359,309.328866836914,293.644802949219,292.479946886719,291.409425873047,8,7,7,7,7,7
ChinaLake,1978,313.246163630273,311.072581949219,309.83545619043,292.770065335937,291.164781650391,288.141659594727,8,8,7,7,7,7
ChinaLake,1979,313.18491584375,311.12494775293,309.647178490234,292.848923618164,291.082258757812,289.09019512168,7,7,7,7,7,8
ChinaLake,1980,313.158920983984,311.517389311523,310.33810068457,293.92478177832,292.630643066406,290.543758229883,8,7,7,7,7,7
ChinaLake,1981,313.606967755273,311.144653865234,310.024885810547,295.046511554688,293.636282244141,291.422080654688,8,8,7,8,7,7
ChinaLake,1982,311.663803679297,310.069616199219,308.684799515625,294.322670525391,293.267402635742,291.372424279687,7,7,7,8,8,8
ChinaLake,1983,311.04208779082,308.475045939453,307.051411734375,292.83182659375,291.865893248047,290.299294973242,7,7,7,7,7,7
ChinaLake,1984,312.357405118359,310.468627844727,309.167590969727,295.541012634766,294.044649154297,293.016294609766,7,7,7,7,8,8
ChinaLake,1985,313.676288095312,311.455694353516,309.986222253906,295.608093793945,294.133237800781,292.303448996875,7,7,7,7,7,7
ChinaLake,1986,312.457171110547,310.698125275391,309.279854220703,295.363095635742,293.944362873047,292.676800990039,8,8,8,8,8,8
ChinaLake,1987,311.368636805078,309.805602608398,308.172140506836,293.878932552734,292.380715422852,289.752453760938,8,8,8,8,8,8
ChinaLake,1988,313.512402224414,311.290471960937,310.2214543125,295.42145187793,293.839125850586,291.917846707813,7,7,7,7,7,7
ChinaLake,1989,313.781593899609,311.125409953125,310.312311195312,294.528669603516,292.889150523437,289.924905724805,7,7,7,7,7,7
ChinaLake,1990,311.713430938672,310.714621135742,309.300389880859,295.05138100293,293.184070135742,291.61227424082,7,7,7,7,7,7
ChinaLake,1991,314.129046621094,310.795992652344,309.215841086914,294.306741452148,293.408794520508,291.522937226563,7,7,7,7,7,7
ChinaLake,1992,312.835357491016,311.333020689453,309.39595847168,294.029890318359,292.322264016602,289.927143118945,8,8,8,8,8,7
ChinaLake,1993,313.188814449609,309.976674302734,308.106681248047,293.319180546875,291.685869885742,289.513079664844,8,8,8,7,7,8
ChinaLake,1994,313.487943041016,311.054374975586,309.824502884766,295.216593628906,294.36323180957,292.601717982227,6,7,7,7,7,7
ChinaLake,1995,313.088657164258,310.647031490234,309.143976357422,293.883415956055,292.627038208984,290.590107269531,7,7,8,8,8,7
ChinaLake,1996,312.833512367383,311.145972536133,309.943969476563,295.958545123047,294.499278329102,291.731694613281,7,7,7,7,7,7
ChinaLake,1997,312.419494300391,309.16425184668,307.411235164063,293.447537039063,292.011856970703,290.666827558008,8,8,8,8,8,8
ChinaLake,1998,314.412846713086,311.000385210938,309.686425613281,295.296534871094,293.166644362305,290.491451799219,7,8,8,8,8,8
ChinaLake,1999,311.374251776758,308.240881550781,306.941914239258,293.31804350293,292.042162763672,290.037330683984,7,8,8,7,7,7
ChinaLake,2000,311.780885094531,310.569071896484,308.799188702148,293.57291765918,292.273718064453,289.835800153906,7,7,7,8,8,8
ChinaLake,2001,312.326906429492,310.644242412109,309.671220516602,294.837283452148,293.295073375977,290.856354599609,8,8,8,8,8,8
ChinaLake,2002,313.376938863281,311.452431288086,309.666406145508,295.590683427734,294.454571316406,293.227258748438,7,8,7,7,7,7
ChinaLake,2003,313.249785813867,311.506342641602,310.509541591797,296.585980076172,293.401515552734,291.407110879297,7,7,7,7,7,8
ChinaLake,2004,311.411538003711,309.338773255859,308.527645347656,294.777169255859,293.400917878906,291.095806255664,8,7,7,7,7,7
ChinaLake,2005,313.773457173633,311.971736509766,309.74727640625,296.602448410156,294.782124280273,293.224191235937,7,7,7,7,7,7
ChinaLake,2006,312.622457968359,311.471634485352,310.268506691406,296.296172317383,294.922798572266,292.736113251758,7,7,7,7,7,7
ChinaLake,2007,313.211587140039,310.460387253906,309.482187416992,296.210195802734,293.919673970703,291.69466793125,7,7,7,7,7,7
ChinaLake,2008,313.082850191016,309.835816693359,308.920333910156,296.036599773438,293.860393851562,292.273839931641,7,7,7,7,7,7
ChinaLake,2009,311.694361386914,310.744356710937,309.726167206055,296.599317420899,294.297693804687,290.845890221875,7,7,7,7,7,7
ChinaLake,2010,311.56775125625,310.643437683594,309.048538330078,296.32037246875,294.506842242188,291.348650573438,7,7,7,7,7,7
ChinaLake,2011,310.453298233008,309.017994237305,308.209256049805,294.244656599609,292.474748498047,291.134516302734,8,8,8,7,8,8
ChinaLake,2012,312.057508040039,310.456434160156,309.159527147461,296.679103303711,295.517012923828,292.269960691211,8,8,8,8,8,8
ChinaLake,2013,313.631592311719,311.361413791016,309.932116643555,297.148810981445,295.546217709961,293.019462561719,7,7,7,7,7,7
ChinaLake,2014,312.886449355469,310.689396469727,309.476143248047,296.875334602539,295.367450948242,293.111888596875,7,7,7,7,7,7
ChinaLake,2015,312.515822456836,310.45753321875,309.211100950195,295.300243893555,294.089444673828,292.12810048125,8,8,8,8,8,8
ChinaLake,2016,313.839245364648,312.380726966797,310.872381236328,295.393542613281,293.833114399414,292.13065049375,7,7,7,7,7,7
ChinaLake,2017,313.994100542187,312.598547451172,311.311659577148,297.039927709961,296.287690814453,295.300948605664,7,6,7,7,7,7
ChinaLake,2018,313.669382851172,312.743475150391,311.658363698242,299.341969601562,298.430933275391,294.102603164844,7,7,7,7,7,7
ChinaLake,2019,311.685208873437,310.65994244043,309.599894632812,294.839727498047,293.355882152344,291.707806851172,7,7,8,7,7,7
ChinaLake,2020,314.336756834375,312.17377446582,310.99948078125,295.064136847656,293.907127800781,292.291110102148,8,8,8,8,8,7
ChinaLake,2021,316.071322872656,313.373549119141,311.438336022461,298.703354339844,297.782849639648,295.281915084375,7,7,7,7,7,7
ChinaLake,2022,313.527802317383,311.554083185547,310.513330394531,297.952227099609,296.937315449219,295.358795340039,9,7,7,8,8,8
ChinaLake,2023,315.036273976953,313.151520158203,312.145956267578,296.989819617187,295.103175822266,293.397937642773,7,7,7,7,7,7
ChinaLake,2024,316.941345053516,315.065874947266,313.647029056641,297.459854123047,295.761200723633,292.126435079102,7,7,7,7,7,7
ChinaLake,2025,312.487856805273,311.01419796582,309.544469578125,294.774177044922,293.158010591797,291.618493901562,8,8,8,8,8,8
