City,Month,t2m_72_1,t2m_72_5,t2m_72_10,t2m_72_90,t2m_72_95,t2m_72_99
ChinaLake,1,285.838913085137,284.559223283244,283.603411812364,275.304385999919,273.859011382847,270.157347471632
ChinaLake,2,288.69252712226,287.175026683756,286.05554557034,277.192585427856,275.923196796807,272.863220904921
ChinaLake,3,292.670378590885,290.355330830594,289.162974974297,279.811672030518,278.637935073825,276.393949652384
ChinaLake,4,296.611488462592,294.663008540514,293.42714236145,283.011945984904,281.612122013075,279.81633751987
ChinaLake,5,300.988573634975,299.028583856662,297.928458439426,287.619736037014,286.399102768528,284.320443615864
ChinaLake,6,305.273691911797,303.505603243273,302.477098101196,292.883376022068,291.517791587931,289.151576699165
ChinaLake,7,307.376828972675,305.663211259345,304.819962839627,298.400207386624,297.380588998115,295.935639141124
ChinaLake,8,305.879996328977,304.71077661438,304.019699079902,297.531625422634,296.447150428847,294.339595557267
ChinaLake,9,304.092897671577,302.145614899767,301.311415138685,293.068511338298,291.894580528022,289.049328644219
ChinaLake,10,299.204725633043,297.209152809814,296.012244594198,286.525137752943,285.192396805474,282.777700600987
ChinaLake,11,291.688780965074,290.01072801317,289.051574975993,279.814346311442,278.639942421604,276.235600294529
ChinaLake,12,285.83062058495,284.456249438083,283.704713174167,276.008640326131,274.296813156182,271.916022200336
